species,region,production_system,group,age_group,sex,year,ahle_total_mean,ahle_dueto_ppr_total_mean,ahle_dueto_bruc_total_mean,ahle_dueto_fmd_total_mean,ahle_total_stdev,ahle_dueto_ppr_total_stdev,ahle_dueto_bruc_total_stdev,ahle_dueto_fmd_total_stdev,ahle_dueto_mortality_mean,ahle_dueto_ppr_mortality_mean,ahle_dueto_bruc_mortality_mean,ahle_dueto_fmd_mortality_mean,ahle_dueto_mortality_stdev,ahle_dueto_ppr_mortality_stdev,ahle_dueto_bruc_mortality_stdev,ahle_dueto_fmd_mortality_stdev,ahle_dueto_healthcost_mean,ahle_dueto_ppr_healthcost_mean,ahle_dueto_bruc_healthcost_mean,ahle_dueto_fmd_healthcost_mean,ahle_dueto_healthcost_stdev,ahle_dueto_ppr_healthcost_stdev,ahle_dueto_bruc_healthcost_stdev,ahle_dueto_fmd_healthcost_stdev,ahle_dueto_productionloss_mean,ahle_dueto_ppr_productionloss_mean,ahle_dueto_bruc_productionloss_mean,ahle_dueto_fmd_productionloss_mean,ahle_dueto_productionloss_stdev,ahle_dueto_ppr_productionloss_stdev,ahle_dueto_bruc_productionloss_stdev,ahle_dueto_fmd_productionloss_stdev,ahle_when_af_ideal_mean,ahle_when_am_ideal_mean,ahle_when_jf_ideal_mean,ahle_when_jm_ideal_mean,ahle_when_nf_ideal_mean,ahle_when_nm_ideal_mean,ahle_when_o_ideal_mean,ahle_when_a_ideal_mean,ahle_when_j_ideal_mean,ahle_when_n_ideal_mean,ahle_when_af_mort_imp100_mean,ahle_when_am_mort_imp100_mean,ahle_when_j_mort_imp100_mean,ahle_when_n_mort_imp100_mean,ahle_when_a_mort_imp100_mean,ahle_total_mean_usd,ahle_dueto_ppr_total_mean_usd,ahle_dueto_bruc_total_mean_usd,ahle_dueto_fmd_total_mean_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_bruc_mortality_mean_usd,ahle_dueto_fmd_mortality_mean_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_bruc_healthcost_mean_usd,ahle_dueto_fmd_healthcost_mean_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_bruc_productionloss_mean_usd,ahle_dueto_fmd_productionloss_mean_usd,ahle_when_af_ideal_mean_usd,ahle_when_am_ideal_mean_usd,ahle_when_jf_ideal_mean_usd,ahle_when_jm_ideal_mean_usd,ahle_when_nf_ideal_mean_usd,ahle_when_nm_ideal_mean_usd,ahle_when_o_ideal_mean_usd,ahle_when_a_ideal_mean_usd,ahle_when_j_ideal_mean_usd,ahle_when_n_ideal_mean_usd,ahle_when_af_mort_imp100_mean_usd,ahle_when_am_mort_imp100_mean_usd,ahle_when_j_mort_imp100_mean_usd,ahle_when_n_mort_imp100_mean_usd,ahle_when_a_mort_imp100_mean_usd,ahle_total_stdev_usd,ahle_dueto_ppr_total_stdev_usd,ahle_dueto_bruc_total_stdev_usd,ahle_dueto_fmd_total_stdev_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_ppr_mortality_stdev_usd,ahle_dueto_bruc_mortality_stdev_usd,ahle_dueto_fmd_mortality_stdev_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_ppr_healthcost_stdev_usd,ahle_dueto_bruc_healthcost_stdev_usd,ahle_dueto_fmd_healthcost_stdev_usd,ahle_dueto_productionloss_stdev_usd,ahle_dueto_ppr_productionloss_stdev_usd,ahle_dueto_bruc_productionloss_stdev_usd,ahle_dueto_fmd_productionloss_stdev_usd
All,Afar,Overall,Adult Female,Adult,Female,2017,51106101112.40183,0.0,0.0,0.0,7630493110.68734,0.0,0.0,0.0,2628904223.9913983,0.0,0.0,0.0,15651.031381119026,0.0,0.0,0.0,25099800.43856673,0.0,0.0,0.0,384905.5969965106,0.0,0.0,0.0,48452097087.97186,0.0,0.0,0.0,7630493120.4113035,0.0,0.0,0.0,50656443682.741066,1482746747.5211658,1497907476.8016443,1727861130.7720213,1024998201.7420473,1208943964.9843588,1499313769.934083,,,,3094171680.324169,547660373.9802322,463282501.10584736,104804767.64163017,,2141367528.31185,0.0,0.0,0.0,110152213.09713554,0.0,0.0,0.0,1051692.3900737835,0.0,0.0,0.0,2030163622.8246405,0.0,0.0,0.0,2122526689.394751,62127723.867421694,62762964.918491915,72398121.52231531,42947863.719070256,50655269.99354419,62821889.20313787,,,,129647118.81846976,22947204.264420122,19411735.24705486,4391364.658134611,,319720929.9198139,0.0,0.0,0.0,655.7849191118419,0.0,0.0,0.0,16127.709391507498,0.0,0.0,0.0,319720930.3272521,0.0,0.0,0.0
All,Afar,Overall,Adult Female,Adult,Female,2018,53661406168.02193,0.0,0.0,0.0,8012017766.221707,0.0,0.0,0.0,2760349435.1909676,0.0,0.0,0.0,15651.031424157933,0.0,0.0,0.0,26354790.460495062,0.0,0.0,0.0,404150.8768463362,0.0,0.0,0.0,50874701942.37047,0.0,0.0,0.0,8012017776.430303,0.0,0.0,0.0,53189265866.87811,1556884084.8972254,1572802850.6417274,1814254187.3106232,1076248111.8291502,1269391163.2335777,1574279458.430787,,,,3248880264.340378,575043392.679244,486446626.16114044,110045006.02371216,,1956347291.3912659,0.0,0.0,0.0,100634749.00229815,0.0,0.0,0.0,960823.1802784767,0.0,0.0,0.0,1854751719.2086895,0.0,0.0,0.0,1939134354.4733028,56759712.0537986,57340066.47367787,66142718.17862866,39237046.301940694,46278510.7817006,57393899.53275816,,,,118445239.49475795,20964500.635298066,17734506.183400802,4011938.2781645944,,292096133.41938865,0.0,0.0,0.0,570.5935628719592,0.0,0.0,0.0,14734.229489925427,0.0,0.0,0.0,292096133.791566,0.0,0.0,0.0
All,Afar,Overall,Adult Female,Adult,Female,2019,56344476476.42303,0.0,0.0,0.0,8412618654.532792,0.0,0.0,0.0,2898366906.9505157,0.0,0.0,0.0,15651.031471608334,0.0,0.0,0.0,27672529.98351981,0.0,0.0,0.0,424358.420688653,0.0,0.0,0.0,53418437039.48899,0.0,0.0,0.0,8412618665.250324,0.0,0.0,0.0,55848729160.22203,1634728289.142086,1651442993.1738138,1904966896.6761532,1130060517.4206066,1332860721.395256,1652993431.3523264,,,,3411324277.557397,603795562.3132057,510768957.4691973,115547256.32489777,,1938251153.7396445,0.0,0.0,0.0,99703881.4214266,0.0,0.0,0.0,951935.6025944431,0.0,0.0,0.0,1837595336.7156234,0.0,0.0,0.0,1921197435.8300993,56234686.887299895,56809673.05098303,65530900.56420001,38874105.12373194,45850436.32625861,56863008.15632492,,,,117349625.5577498,20770579.80592216,17570462.679217994,3974828.002473285,,289394255.35248125,0.0,0.0,0.0,538.3958056608101,0.0,0.0,0.0,14597.938430452723,0.0,0.0,0.0,289394255.7211646,0.0,0.0,0.0
All,Afar,Overall,Adult Female,Adult,Female,2020,59161700300.24419,0.0,0.0,0.0,8833249587.259434,0.0,0.0,0.0,3043285252.298042,0.0,0.0,0.0,15651.0315239224,0.0,0.0,0.0,29056156.482695807,0.0,0.0,0.0,445576.3417230857,0.0,0.0,0.0,56089358891.46345,0.0,0.0,0.0,8833249598.511421,0.0,0.0,0.0,58641165618.23312,1716464703.5991898,1734015142.8325043,2000215241.5099611,1186563543.2916374,1399503757.4650192,1735643102.9199429,,,,3581890491.4352665,633985340.4288664,536307405.3426571,121324619.14114285,,1693859195.725065,0.0,0.0,0.0,87132328.5784306,0.0,0.0,0.0,831907.088553329,0.0,0.0,0.0,1605894960.058081,0.0,0.0,0.0,1678955762.3662603,49144117.01444938,49646603.80461084,57268181.32451638,33972511.92776082,40069205.195309766,49693213.94513058,,,,102553140.22766103,18151640.22315783,15355022.348324226,3473646.307613269,,252904851.71286178,0.0,0.0,0.0,448.1048302337148,0.0,0.0,0.0,12757.300415553937,0.0,0.0,0.0,252904852.03501752,0.0,0.0,0.0
All,Afar,Overall,Adult Female,Adult,Female,2021,62119785315.25639,0.0,0.0,0.0,9274912066.622404,0.0,0.0,0.0,3195449514.9129443,0.0,0.0,0.0,15651.031581598654,0.0,0.0,0.0,30508964.3068306,0.0,0.0,0.0,467855.15880924,0.0,0.0,0.0,58893826836.03662,0.0,0.0,0.0,9274912078.435638,0.0,0.0,0.0,61573223899.14479,1802287938.77915,1820715899.9741297,2100226003.5854597,1245891720.4562197,1469478945.3382702,1822425258.06594,,,,3760985016.0070305,665684607.4503098,563122775.6097898,127390850.09819984,,1420407467.7100542,0.0,0.0,0.0,73065937.53726469,0.0,0.0,0.0,697606.4149867357,0.0,0.0,0.0,1346643923.7578027,0.0,0.0,0.0,1407910001.5152307,41210432.943607464,41631799.72012129,48022971.81537381,28488087.88879565,33600548.63371445,41670885.25440438,,,,85997257.96814683,15221291.940457396,12876151.964377685,2912870.8973978898,,212076624.13715765,0.0,0.0,0.0,357.87055642654985,0.0,0.0,0.0,10697.798744904998,0.0,0.0,0.0,212076624.40727454,0.0,0.0,0.0
All,Afar,Overall,Adult Male,Adult,Male,2017,3168454952.2685213,0.0,0.0,0.0,4044745737.9698505,0.0,0.0,0.0,1178480968.0853243,0.0,0.0,0.0,29122.76627497857,0.0,0.0,0.0,4608973.954359272,0.0,0.0,0.0,70550.98814524227,0.0,0.0,0.0,1985365010.2288377,0.0,0.0,0.0,4044745738.689992,0.0,0.0,0.0,491058974.1912718,2162343770.0499115,-90168318.2716341,92014046.51734972,96953495.31013918,8233087.780577183,-181319521.20430517,,,,-108836361.85466766,1195027553.0339642,-3439483.1050019264,-15231104.88081026,,132759619.73276457,0.0,0.0,0.0,49378857.37440923,0.0,0.0,0.0,193117.98297806346,0.0,0.0,0.0,83187644.37537728,0.0,0.0,0.0,20575581.367605858,90603130.2221304,-3778091.1598930424,3855427.9640208045,4062392.9842906008,344969.9047143864,-7597365.6081099445,,,,-4560290.182626118,50072166.371617645,-144115.81542934495,-638189.8188700703,,169476579.01973212,0.0,0.0,0.0,1220.256381888642,0.0,0.0,0.0,2956.1166243588636,0.0,0.0,0.0,169476579.04990634,0.0,0.0,0.0
All,Afar,Overall,Adult Male,Adult,Male,2018,3326877699.8819475,0.0,0.0,0.0,4246983024.8683434,0.0,0.0,0.0,1237405016.4895906,0.0,0.0,0.0,29122.76628129607,0.0,0.0,0.0,4839422.652077235,0.0,0.0,0.0,74078.5375525044,0.0,0.0,0.0,2084633260.7402797,0.0,0.0,0.0,4246983025.6142573,0.0,0.0,0.0,515611922.90083504,2270460958.5524063,-94676734.18521595,96614748.84321785,101801170.07564592,8644742.169606209,-190385497.26452065,,,,-114278179.94740105,1254778930.6856623,-3611457.2602529526,-15992660.12485075,,121288811.48911516,0.0,0.0,0.0,45112383.83846122,0.0,0.0,0.0,176432.04070434504,0.0,0.0,0.0,75999995.6099496,0.0,0.0,0.0,18797792.693274744,82774762.4161328,-3451653.352151538,3522308.0367303775,3711390.6913724267,315163.52507294685,-6940931.63953616,,,,-4166268.1575133777,45745788.96899252,-131663.79962069538,-583048.4057653643,,154833321.20053798,0.0,0.0,0.0,1061.7359663263303,0.0,0.0,0.0,2700.6997512754583,0.0,0.0,0.0,154833321.22773197,0.0,0.0,0.0
All,Afar,Overall,Adult Male,Adult,Male,2019,3493221584.8760457,0.0,0.0,0.0,4459332176.11176,0.0,0.0,0.0,1299275267.3140702,0.0,0.0,0.0,29122.766288261108,0.0,0.0,0.0,5081393.784681098,0.0,0.0,0.0,77782.4644301296,0.0,0.0,0.0,2188864923.777294,0.0,0.0,0.0,4459332176.8852215,0.0,0.0,0.0,541392519.0458779,2383984006.4800277,-99410570.89447594,101445486.28537989,106891228.57942915,9076979.27808714,-199904772.1277461,,,,-119992088.94477034,1317517877.2199464,-3792030.1232647896,-16792293.131093025,,120166894.61987275,0.0,0.0,0.0,44695096.01266163,0.0,0.0,0.0,174800.0510730604,0.0,0.0,0.0,75296998.55613805,0.0,0.0,0.0,18623913.8295265,82009099.02837238,-3419725.6906053866,3489726.8220531614,3677060.4693686445,312248.2745151623,-6876728.287231439,,,,-4127730.3363383017,45322642.16995146,-130445.91450785747,-577655.2303027383,,153401118.8989159,0.0,0.0,0.0,1001.8237614104389,0.0,0.0,0.0,2675.7183818274875,0.0,0.0,0.0,153401118.92552298,0.0,0.0,0.0
All,Afar,Overall,Adult Male,Adult,Male,2020,3667882664.1198473,0.0,0.0,0.0,4682298784.917349,0.0,0.0,0.0,1364239030.6797736,0.0,0.0,0.0,29122.766295940066,0.0,0.0,0.0,5335463.473915152,0.0,0.0,0.0,81671.58765163609,0.0,0.0,0.0,2298308169.966159,0.0,0.0,0.0,4682298785.720201,0.0,0.0,0.0,568462144.9981709,2503183206.8040276,-104381099.4392004,106517760.59964752,112235790.00839901,9530828.24199009,-209900010.7341342,,,,-125991693.39200974,1383393771.0809422,-3981631.6294288635,-17631907.7876482,,105015182.9296615,0.0,0.0,0.0,39059540.47224105,0.0,0.0,0.0,152759.70472250067,0.0,0.0,0.0,65802882.75269795,0.0,0.0,0.0,16275645.000736611,71668661.85237172,-2988536.2362422207,3049711.001950518,3213423.9555385015,272877.2327137534,-6009649.17438885,,,,-3607269.3542269226,39607960.02417391,-113998.13249569532,-504819.31710405933,,134058940.39072798,0.0,0.0,0.0,833.8141947405535,0.0,0.0,0.0,2338.3399914322354,0.0,0.0,0.0,134058940.41371444,0.0,0.0,0.0
All,Afar,Overall,Adult Male,Adult,Male,2021,3851276797.32584,0.0,0.0,0.0,4916413724.163217,0.0,0.0,0.0,1432450982.2137625,0.0,0.0,0.0,29122.766304406112,0.0,0.0,0.0,5602236.64761091,0.0,0.0,0.0,85755.1670342179,0.0,0.0,0.0,2413223578.4644666,0.0,0.0,0.0,4916413724.99737,0.0,0.0,0.0,596885252.2480793,2628342367.14423,-109600154.41116047,111843648.62963009,117847579.50881958,10007369.654089928,-220395011.27084064,,,,-132291278.06161022,1452563459.6349897,-4180713.2109003067,-18513503.177030563,,88061835.61932848,0.0,0.0,0.0,32753881.262453817,0.0,0.0,0.0,128098.61994470147,0.0,0.0,0.0,55179855.73692996,0.0,0.0,0.0,13648151.9592591,60098680.42917231,-2506075.592465927,2557374.4809843963,2694658.088986842,228824.72173182596,-5039468.798329209,,,,-3024922.225954136,33213765.548567805,-95594.60379619896,-423322.74705511006,,112416852.90304045,0.0,0.0,0.0,665.9101368303311,0.0,0.0,0.0,1960.8451483204133,0.0,0.0,0.0,112416852.9221139,0.0,0.0,0.0
All,Afar,Overall,Juvenile Combined,Juvenile,Overall,2017,8138094693.901743,0.0,0.0,0.0,2403728919.8364015,0.0,0.0,0.0,1523404156.0270822,0.0,0.0,0.0,12559.692607332168,0.0,0.0,0.0,15936395.966072898,0.0,0.0,0.0,184994.35458219892,0.0,0.0,0.0,6598754141.908587,0.0,0.0,0.0,2403728926.987927,0.0,0.0,0.0,3768458003.197275,14926107.612773895,2626488203.3946857,1297641350.4874268,719939278.1439905,782685275.9959955,-43307055.80138302,,,,163360626.06293392,91546181.08096123,1397201144.3391647,744678093.227912,,340989653.6916462,0.0,0.0,0.0,63831286.699741766,0.0,0.0,0.0,667741.8174595839,0.0,0.0,0.0,276490625.17444485,0.0,0.0,0.0,157900004.58272702,625410.302691357,110050980.79921179,54371728.44034864,30165764.14591141,32794848.33365437,-1814584.1889974806,,,,6844880.208851857,3835824.20182227,58543326.449960805,31202331.094994627,,100717271.39742048,0.0,0.0,0.0,526.2565002907834,0.0,0.0,0.0,7751.342700787605,0.0,0.0,0.0,100717271.69707246,0.0,0.0,0.0
All,Afar,Overall,Juvenile Combined,Juvenile,Overall,2018,8544999428.596832,0.0,0.0,0.0,2523915365.8282213,0.0,0.0,0.0,1599574363.8284364,0.0,0.0,0.0,12560.506052454384,0.0,0.0,0.0,16733215.764376543,0.0,0.0,0.0,194244.0723113089,0.0,0.0,0.0,6928691849.00402,0.0,0.0,0.0,2523915373.334124,0.0,0.0,0.0,3956880903.3571396,15672412.993412971,2757812613.564419,1362523418.0118008,755936242.0511913,821819539.7957973,-45472408.591451645,,,,171528657.36608124,96123490.13500977,1467061201.5561237,781911997.8893089,,311527179.0443197,0.0,0.0,0.0,58316082.218499616,0.0,0.0,0.0,610047.0277353971,0.0,0.0,0.0,252601049.7980847,0.0,0.0,0.0,144256995.67771718,571373.0760842446,100542263.46246153,49673856.66223988,27559356.438978963,29961280.285085574,-1657798.960809502,,,,6253463.1161806425,3504398.0952695445,53485016.75455323,28506361.05933171,,92015013.06503779,0.0,0.0,0.0,457.92150726132456,0.0,0.0,0.0,7081.604674040287,0.0,0.0,0.0,92015013.33868237,0.0,0.0,0.0
All,Afar,Overall,Juvenile Combined,Juvenile,Overall,2019,8972249400.026672,0.0,0.0,0.0,2650111134.1196327,0.0,0.0,0.0,1679553082.0198581,0.0,0.0,0.0,12561.402814649195,0.0,0.0,0.0,17569876.552595373,0.0,0.0,0.0,203956.2759268744,0.0,0.0,0.0,7275126441.454219,0.0,0.0,0.0,2650111141.9977837,0.0,0.0,0.0,4154724948.524995,16456033.643082619,2895703244.2426405,1430649588.912387,793733054.1537523,862910516.7855864,-47746029.021024704,,,,180105090.2343855,100929664.64175892,1540414261.6339273,821007597.7837725,,308645564.5482563,0.0,0.0,0.0,57776660.68747953,0.0,0.0,0.0,604404.1160517505,0.0,0.0,0.0,250264499.744725,0.0,0.0,0.0,142922623.98283422,566087.8969747802,99612251.36929765,49214375.387211345,27304433.44554915,29684139.587907925,-1642464.38380188,,,,6195618.821434154,3471982.546866035,52990282.39437654,28242678.30936876,,91163877.71204199,0.0,0.0,0.0,432.11251609144193,0.0,0.0,0.0,7016.100101544541,0.0,0.0,0.0,91163877.98305055,0.0,0.0,0.0
All,Afar,Overall,Juvenile Combined,Juvenile,Overall,2020,9420861870.028006,0.0,0.0,0.0,2782616690.8256145,0.0,0.0,0.0,1763530736.1208508,0.0,0.0,0.0,12562.391420775299,0.0,0.0,0.0,18448370.38022514,0.0,0.0,0.0,214154.0897232181,0.0,0.0,0.0,7638882763.52693,0.0,0.0,0.0,2782616699.0947714,0.0,0.0,0.0,4362461195.951248,17278835.325237274,3040488406.454771,1502182068.3580093,833419706.8614388,906056042.6248665,-50133330.472076416,,,,189110344.7461071,105976147.87384796,1617434974.7156258,862057977.6729622,,269728784.4875666,0.0,0.0,0.0,50491665.032652326,0.0,0.0,0.0,528195.4652435385,0.0,0.0,0.0,218708923.98967075,0.0,0.0,0.0,124901667.38370916,494710.49612398393,87052252.0588815,43008988.8767279,23861647.43747078,25941299.04741864,-1435367.8545662041,,,,5414420.052657084,3034204.082922474,46308795.9187355,24681590.037456594,,79669124.55208059,0.0,0.0,0.0,359.67394649558565,0.0,0.0,0.0,6131.447749792045,0.0,0.0,0.0,79669124.78883488,0.0,0.0,0.0
