species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Mortality,External,All causes,376080362.695337,62262582.2629867,254045701.4598831,498115023.9307909,2017-01-01,23.8661044574125,15757928.293929484,2608828.867488207,10644623.7136526,20871232.874206368
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Mortality,Non-infectious,All conditions,310358973.838465,55277500.1226703,202015073.5980312,418702874.0788988,2017-01-01,23.8661044574125,13004173.948550347,2316150.9336938243,8464518.118510453,17543829.778590243
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Production loss,External,All causes,1043947926.10839,229344404.284002,594432893.711746,1493462958.505034,2017-01-01,23.8661044574125,43741865.28728417,9609628.780987365,24906992.876548935,62576737.698019415
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Production loss,Non-infectious,All conditions,2229110927.42463,391185578.655317,1462387193.2602088,2995834661.5890512,2017-01-01,23.8661044574125,93400702.71637051,16390843.313091252,61274649.82271166,125526755.61002935
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Mortality,External,All causes,394884376.339936,65375711.0181428,266747982.74437612,523020769.9354959,2018-01-01,27.4293865941667,14396398.365828367,2383418.630004872,9724897.851018818,19067898.880637918
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Mortality,Non-infectious,All conditions,325876918.798637,58041374.5155076,212115824.74824208,439638012.84903187,2018-01-01,27.4293865941667,11880576.245476082,2116028.891723413,7733159.617698193,16027992.87325397
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Production loss,External,All causes,1096145322.41379,240811624.497669,624154538.3983588,1568136106.4292212,2018-01-01,27.4293865941667,39962443.879328415,8779329.558499185,22754957.944670018,57169929.813986816
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Production loss,Non-infectious,All conditions,2340566473.7958,410744857.586669,1535506552.925929,3145626394.6656713,2018-01-01,27.4293865941667,85330616.70046823,14974627.893210726,55980346.0297752,114680887.37116124
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Mortality,External,All causes,414628590.679544,68644496.212253,280085378.1035281,549171803.2555599,2019-01-01,29.06975,14263232.07731556,2361372.086524755,9634942.78772704,18891521.366904084
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Mortality,Non-infectious,All conditions,342170761.017438,60943442.6298668,222721613.46289906,461619908.5719769,2019-01-01,29.06975,11770681.241408613,2096455.6843408286,7661628.100100588,15879734.382716635
