region,species,production_system,agesex_scenario,year,ahle_total_mean,ahle_total_stdev,ahle_dueto_mortality_mean,ahle_dueto_mortality_stdev,ahle_dueto_healthcost_mean,ahle_dueto_healthcost_stdev,ahle_dueto_productionloss_mean,ahle_total_mean_usd,ahle_total_stdev_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_total_mean,ahle_dueto_ppr_total_stdev,ahle_dueto_ppr_mortality_mean,ahle_dueto_ppr_mortality_stdev,ahle_dueto_ppr_healthcost_mean,ahle_dueto_ppr_healthcost_stdev,ahle_dueto_ppr_productionloss_mean,ahle_dueto_ppr_total_mean_usd,ahle_dueto_ppr_total_stdev_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_ppr_mortality_stdev_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_ppr_healthcost_stdev_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_bruc_total_mean,ahle_dueto_bruc_total_stdev,ahle_dueto_bruc_mortality_mean,ahle_dueto_bruc_mortality_stdev,ahle_dueto_bruc_healthcost_mean,ahle_dueto_bruc_healthcost_stdev,ahle_dueto_bruc_productionloss_mean,ahle_dueto_bruc_total_mean_usd,ahle_dueto_bruc_total_stdev_usd,ahle_dueto_bruc_mortality_mean_usd,ahle_dueto_bruc_mortality_stdev_usd,ahle_dueto_bruc_healthcost_mean_usd,ahle_dueto_bruc_healthcost_stdev_usd,ahle_dueto_bruc_productionloss_mean_usd,ahle_dueto_productionloss_stdev,ahle_dueto_ppr_productionloss_stdev,ahle_dueto_bruc_productionloss_stdev,ahle_dueto_productionloss_stdev_usd,ahle_dueto_ppr_productionloss_stdev_usd,ahle_dueto_bruc_productionloss_stdev_usd,ahle_dueto_otherdisease_total_mean,ahle_dueto_otherdisease_mortality_mean,ahle_dueto_otherdisease_healthcost_mean,ahle_dueto_otherdisease_productionloss_mean,ahle_dueto_otherdisease_total_mean_usd,ahle_dueto_otherdisease_mortality_mean_usd,ahle_dueto_otherdisease_healthcost_mean_usd,ahle_dueto_otherdisease_productionloss_mean_usd,ahle_dueto_otherdisease_total_stdev,ahle_dueto_otherdisease_mortality_stdev,ahle_dueto_otherdisease_healthcost_stdev,ahle_dueto_otherdisease_productionloss_stdev,ahle_dueto_otherdisease_total_stdev_usd,ahle_dueto_otherdisease_mortality_stdev_usd,ahle_dueto_otherdisease_healthcost_stdev_usd,ahle_dueto_otherdisease_productionloss_stdev_usd
Afar,Cattle,Overall,Adult Combined,2017,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Combined,2018,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Combined,2019,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Combined,2020,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Combined,2021,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Female,2017,59879662741.71028,8713165953.656462,3459400499.5603275,4345626239.850131,-7517857.241771981,891547.1806291896,56427780099.39173,2508983518.80432,365085385.8116868,144950362.7931153,182083600.93305618,-315001.43876379594,37356.208769642195,2364348157.4499683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,9736720656.73492,0.0,,407972766.3184186,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Female,2018,62873645878.7958,9148824251.339285,3632370524.5383415,4562907551.842638,-7893750.103860579,936124.5396606491,59249169104.36132,2292200216.1057034,333540971.4661621,132426239.72170137,166351060.61077625,-287784.4197047889,34128.52622303012,2160061760.803707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,10223556689.571667,0.0,,372722760.4771107,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Female,2019,66017328172.735596,9606265463.906246,3813989050.7652607,4791052929.434769,-8288437.609053612,982930.7666436816,62211627559.57939,2270997451.740576,330455730.231813,131201302.06710622,164812319.65994784,-285122.4248248991,33812.83866024584,2140081272.0982945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,10734734524.050247,0.0,,369275089.192382,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Female,2020,69318194581.37238,10086578737.101562,4004688503.303522,5030605575.906508,-8702859.48950629,1032077.3049758656,65322208937.558365,1984649878.6687565,288788930.3474578,114658274.06767617,144031315.3876657,-249171.65160215195,29549.41499078749,1870240776.2526827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,11271471250.252762,0.0,,322713598.99560785,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Female,2021,72784104310.441,10590907673.95664,4204922928.4686985,5282135854.701834,-9138002.463981599,1083681.170224659,68588319384.43628,1664253744.0925028,242167680.9340345,96148174.02266994,120779316.53177908,-208946.10105171392,24779.042924764213,1568314516.1708846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,11835044812.7654,0.0,,270615649.22386324,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Male,2017,3669104423.5297832,4814931951.577495,1869326428.7060623,4456668918.418889,-163545.76031238586,660919.9882582165,1799941540.5840333,153737047.0357682,201747711.28524244,78325578.10352975,186736336.73109588,-6852.637413207612,27692.830618318334,75418321.56965166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,6560904509.557968,0.0,,274904709.36576486,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Male,2018,3852559644.706274,5055678549.15637,1962792750.141365,4679502364.339834,-171723.04832800478,693965.9876711274,1889938617.613237,140453729.48754102,184316135.973363,71558025.67450723,170601786.81994316,-6260.5500760459745,25300.091392445156,68901964.36310984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,6888949735.035868,0.0,,251152161.62000915,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Male,2019,4045187626.9415855,5308462476.614188,2060932387.6484337,4913477482.556826,-180309.2007444054,728664.2870546838,1984435548.4938962,139154537.85951325,182611218.76225933,70896116.67277612,169023726.8141909,-6202.640227191682,25066.06651432103,68264623.82696433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,7233397221.787661,0.0,,248829013.72690377,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Male,2020,4247447008.2886677,5573885600.444898,2163979007.030855,5159151356.684667,-189324.66078162193,765097.5014074178,2083657325.9185941,121608695.09889628,159585970.86152622,61956903.22984311,147711710.84178084,-5420.5561370783535,21905.51373284105,59657212.42519025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,7595067082.877044,0.0,,217454436.826369,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Male,2021,4459819358.7031,5852579880.467142,2272177957.3823986,5417108924.518901,-198790.89382070303,803352.3764777889,2187840192.2145224,101976539.19103216,133822873.42746966,51954760.02135336,123865559.59161831,-4545.477236643563,18369.15097115481,50026324.64691544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,7974820437.020896,0.0,,182349221.66753283,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Combined,2017,,,1917728753.8677807,4419389434.639828,,,,,,80353656.26132417,185174310.3917918,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Combined,2018,,,2013615191.5611687,4640358906.3718195,,,,,,73410872.11878796,169174723.99323237,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Combined,2019,,,2114295951.1392288,4872376851.690411,,,,,,72731824.35828409,167609864.2640687,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Combined,2020,,,2220010748.69619,5115995694.274931,,,,,,63561148.55055994,146476120.6668981,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Combined,2021,,,2331011286.1309986,5371795478.988678,,,,,,53300020.618772514,122829439.51985441,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Female,2017,4076957928.561699,4531729807.919333,,,-775779.3612407967,657889.7676509446,,170826283.60387692,189881420.15408957,,,-32505.48754720839,27565.8630768547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Female,2018,4280805824.9897823,4758316298.315301,,,-814568.3293028399,690784.256033492,,156066407.47482717,173475126.10169828,,,-29696.921092507077,25184.09420721054,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Female,2019,4494846116.239273,4996232113.231066,,,-855296.7457679808,725323.4688351665,,154622799.1723105,171870487.81744134,,,-29422.225707753965,24951.14229861511,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Female,2020,4719588422.051237,5246043718.892619,,,-898061.5830563754,761589.6422769249,,135126580.34096494,150199526.878461,,,-25712.409600593783,21805.08018520231,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Female,2021,4955567843.153799,5508345904.83725,,,-942964.6622091979,799669.1243907711,,113312136.14852478,125951749.80489437,,,-21561.472583835264,18284.931124880262,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Male,2017,3164507345.739933,4519068360.434697,,,-768184.6119270101,674867.6457805865,,132594213.32822828,189350900.08085227,,,-32187.264297689857,28277.24344309494,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Male,2018,3322732713.026926,4745021778.456432,,,-806593.8425233662,708611.028069616,,121137696.66776137,172990444.4697111,,,-29406.193235648272,25834.00928915827,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Male,2019,3488869348.678276,4982272867.379254,,,-846923.534649536,744041.5794730966,,120017177.60483927,171390289.47202003,,,-29134.187072456283,25595.04569090194,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Male,2020,3663312816.1121902,5231386510.748217,,,-889269.7113820016,781243.6584467514,,104884343.56852834,149779876.21471983,,,-25460.689440292517,22367.79450634653,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Male,2021,3846478456.917799,5492955836.285627,,,-933733.1969511062,820305.8413690892,,87952118.58612227,125599846.33020665,,,-21350.389397955692,18756.80247402066,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Combined,2017,,,1755810186.9074707,4469828542.372253,,,,,,73569198.94658966,187287730.61177075,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Combined,2018,,,1843600696.252842,4693319969.490867,,,,,,67212611.18704395,171105538.703114,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Combined,2019,,,1935780731.065487,4927985967.965409,,,,,,66590897.10319101,169522819.0117015,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Combined,2020,,,2032569767.618763,5174385266.36368,,,,,,58194524.064745136,148147873.05256394,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Combined,2021,,,2134198255.9996986,5433104529.681865,,,,,,48799768.46364337,124231309.03696348,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Female,2017,2350158351.0098743,4424979715.717367,,,-1279112.4445984587,668913.9095731812,,98472641.61621256,185408545.56358173,,,-53595.359346597645,28027.77934567471,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Female,2018,2467666268.5603714,4646228701.503235,,,-1343068.0668283775,702359.6050518403,,89964325.67271337,169388720.5808434,,,-48964.56806343611,25606.099598348595,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Female,2019,2591049581.98839,4878540136.578398,,,-1410221.4701697975,737477.5853044323,,89132159.09969608,167821881.39142573,,,-48511.64768082964,25369.244156018965,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Female,2020,2720602061.0878086,5122467143.407317,,,-1480732.5436782837,774351.4645696539,,77893583.1068927,146661404.78765407,,,-42394.86733461031,22170.464038861748,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Female,2021,2856632164.1421986,5378590500.577683,,,-1554769.1708621979,813069.0377981367,,65318668.40582568,122984811.90820527,,,-35550.76260567273,18591.328466305324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Male,2017,2915649029.196684,4493479512.818702,,,-1240800.674290903,657313.8860476422,,122166943.26463996,188278716.404557,,,-51990.07975956153,27541.733390992893,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Male,2018,3061431480.656517,4718153488.459637,,,-1302840.7080054507,690179.5803500244,,111611372.35593812,172010900.5085454,,,-47497.989192456844,25162.04939474666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Male,2019,3214503054.6893425,4954061162.882618,,,-1367982.7434057146,724688.5593675255,,110578971.42869624,170419806.2550458,,,-47058.63460833735,24929.30139982372,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Male,2020,3375228207.423809,5201764221.02675,,,-1436381.8805759996,760922.9873359018,,96636190.43741122,148931760.16010177,,,-41125.0630837004,21785.993181338377,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Male,2021,3543989617.795,5461852432.078087,,,-1508200.9746048003,798969.136702697,,81035523.43357195,124888647.67774214,,,-34485.951879329965,18268.92547169908,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Overall,2017,69398686588.24089,9026821527.893366,7851529947.155104,4440659912.609566,63108286.76687634,473253.1943952365,61484048354.31891,2907834695.5230293,378227688.7290566,328982468.05068856,186065552.53010112,2644264.248465389,19829.511566905516,2576207963.223875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,10059968567.538633,0.0,,421516992.2468909,0.0,,,,,,,,,,,,,,,,,
