species,region,production_system,year,group,age_group,sex,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Health cost,External,-185036.1859760656,9340.551350650496,-203343.66662334057,-166728.70532879065
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Health cost,Infectious,-185036.1859760656,9340.551350650496,-203343.66662334057,-166728.70532879065
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Health cost,Non-infectious,-185036.1859760656,9340.551350650496,-203343.66662334057,-166728.70532879065
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Mortality,External,7658677.01272859,24107979.242192,6164476.43540738,9152877.5900498
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Mortality,Infectious,20458936.1078143,64010630.8605479,16491589.0056095,24426283.2100192
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Mortality,Non-infectious,7326612.8839293,23323006.5975922,5881064.52116989,8772161.24668871
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Production loss,External,14795376.171847,25355400.1752393,13223861.0647762,16366891.2789177
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Production loss,Infectious,43893177.3525338,73977218.3250703,39308106.1103749,48478248.5946926
All Poultry,National,Small holder,2017,Adult,Adult,Overall,Production loss,Non-infectious,35132974.6601403,60213669.7680217,31400961.3202355,38864988.000045
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Health cost,External,-175281.4107086217,9394.60347571318,-193694.83352101952,-156867.98789622387
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Health cost,Infectious,-175281.4107086217,9394.60347571318,-193694.83352101952,-156867.98789622387
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Health cost,Non-infectious,-175281.4107086217,9394.60347571318,-193694.83352101952,-156867.98789622387
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Mortality,External,-5247027.78772114,23912302.6474894,-6729100.42690885,-3764955.14853342
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Mortality,Infectious,-12374172.8016497,51340178.2519012,-15556211.5454656,-9192134.05783375
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Mortality,Non-infectious,-4894678.44761419,20928190.2817028,-6191797.28478659,-3597559.61044178
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Production loss,External,305016.676202355,32135434.7239586,-1686721.60408335,2296754.95648806
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Production loss,Infectious,609528.072612011,56600327.0488574,-2898532.08055752,4117588.22578154
All Poultry,National,Small holder,2017,Chick,Chick,Overall,Production loss,Non-infectious,300729.970066547,49928232.6052991,-2793797.08398456,3395257.02411765
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Health cost,External,-62176.28410419395,6397.963994424648,-74716.29353326626,-49636.27467512163
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Health cost,Infectious,-62176.28410419395,6397.963994424648,-74716.29353326626,-49636.27467512163
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Health cost,Non-infectious,-62176.28410419395,6397.963994424648,-74716.29353326626,-49636.27467512163
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Mortality,External,124208.450457623,19847192.0618572,-1105910.65405574,1354327.55497099
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Mortality,Infectious,307581.555673144,53020499.8616879,-2978602.68678474,3593765.79813103
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Mortality,Non-infectious,202199.197224675,27359559.9035141,-1493532.73419904,1897931.12864839
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Production loss,External,-2952889.26954493,28050932.0903947,-4691472.10565886,-1214306.433431
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Production loss,Infectious,-6737685.12527403,58119604.7648701,-10339909.3565511,-3135460.89399693
All Poultry,National,Small holder,2017,Juvenile,Juvenile,Overall,Production loss,Non-infectious,-5936719.2205121,54877865.7704515,-9338022.07931234,-2535416.36171187
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Health cost,External,-194287.99527486888,9807.578918183022,-213510.8499545076,-175065.14059523016
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Health cost,Infectious,-194287.99527486888,9807.578918183022,-213510.8499545076,-175065.14059523016
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Health cost,Non-infectious,-194287.99527486888,9807.578918183022,-213510.8499545076,-175065.14059523016
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Mortality,External,8041610.86336502,25313378.2043016,6472700.25717775,9610521.46955229
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Mortality,Infectious,21481882.9132051,67211162.4035753,17316168.4558899,25647597.3705202
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Mortality,Non-infectious,7692943.52812577,24489156.9274718,6175117.74722838,9210769.30902315
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Production loss,External,15535144.9804393,26623170.1840013,13885054.118015,17185235.8428636
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Production loss,Infectious,46087836.2201605,77676079.2413238,41273511.4158937,50902161.0244273
All Poultry,National,Small holder,2018,Adult,Adult,Overall,Production loss,Non-infectious,36889623.3931473,63224353.2564228,32971009.3862473,40808237.4000473
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Health cost,External,-184045.48124405285,9864.333649498842,-203379.57519707058,-164711.38729103512
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Health cost,Infectious,-184045.48124405285,9864.333649498842,-203379.57519707058,-164711.38729103512
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Health cost,Non-infectious,-184045.48124405285,9864.333649498842,-203379.57519707058,-164711.38729103512
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Mortality,External,-5509379.17710719,25107917.7798638,-7065555.44825429,-3953202.90596009
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Mortality,Infectious,-12992881.4417321,53907187.1644962,-16334022.1227388,-9651740.76072543
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Mortality,Non-infectious,-5139412.36999489,21974599.795788,-6501387.14902591,-3777437.59096387
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Production loss,External,320267.510012473,33742206.4601566,-1771057.68428752,2411592.70431246
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Production loss,Infectious,640004.476242612,59430343.4013003,-3043458.6845854,4323467.63707062
All Poultry,National,Small holder,2018,Chick,Chick,Overall,Production loss,Non-infectious,315766.468569875,52424644.2355641,-2933486.93818378,3565019.87532353
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Health cost,External,-65285.0983094036,6717.862194145881,-78452.10820992953,-52118.08840887767
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Health cost,Infectious,-65285.0983094036,6717.862194145881,-78452.10820992953,-52118.08840887767
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Health cost,Non-infectious,-65285.0983094036,6717.862194145881,-78452.10820992953,-52118.08840887767
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Mortality,External,130418.87298051,20839551.6649501,-1161206.18675852,1422043.93271954
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Mortality,Infectious,322960.633456817,55671524.8547723,-3127532.82112396,3773454.08803759
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Mortality,Non-infectious,212309.157085916,28727537.8986898,-1568209.37090898,1992827.68508081
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Production loss,External,-3100533.73302218,29453478.6949145,-4926045.71094181,-1275021.75510256
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Production loss,Infectious,-7074569.38153774,61025585.0031136,-10856904.8243787,-3292233.93869679
All Poultry,National,Small holder,2018,Juvenile,Juvenile,Overall,Production loss,Non-infectious,-6233555.18153772,57621759.0589741,-9804923.18327797,-2662187.17979747
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Health cost,External,-204002.3950386121,10297.957864092174,-224186.39245223277,-183818.39762499143
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Health cost,Infectious,-204002.3950386121,10297.957864092174,-224186.39245223277,-183818.39762499143
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Health cost,Non-infectious,-204002.3950386121,10297.957864092174,-224186.39245223277,-183818.39762499143
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Mortality,External,8443691.40653327,26579047.1145167,6796335.27003663,10091047.5430299
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Mortality,Infectious,22555977.0588653,70571720.523754,18181976.8786844,26929977.2390462
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Mortality,Non-infectious,8077590.70453205,25713614.7738454,6483873.6345898,9671307.77447431
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Production loss,External,16311902.2294613,27954328.6932014,14579306.8239158,18044497.6350068
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Production loss,Infectious,48392228.0311685,81559883.20339,43337186.9866884,53447269.0756486
All Poultry,National,Small holder,2019,Adult,Adult,Overall,Production loss,Non-infectious,38734104.5628046,66385570.9192439,34619559.8555597,42848649.2700496
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Health cost,External,-193247.75530625545,10357.550331973784,-213548.55395692406,-172946.95665558684
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Health cost,Infectious,-193247.75530625545,10357.550331973784,-213548.55395692406,-172946.95665558684
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Health cost,Non-infectious,-193247.75530625545,10357.550331973784,-213548.55395692406,-172946.95665558684
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Mortality,External,-5784848.13596255,26363313.668857,-7418833.220667,-4150863.0512581
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Mortality,Infectious,-13642525.5138187,56602546.522721,-17150723.2288758,-10134327.7987617
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Mortality,Non-infectious,-5396382.98849464,23073329.7855774,-6826456.50647721,-3966309.47051207
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Production loss,External,336280.885513089,35429316.7831644,-1859610.5685019,2532172.33952808
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Production loss,Infectious,672004.70005473,62401860.5713653,-3195631.61881468,4539641.01892414
All Poultry,National,Small holder,2019,Chick,Chick,Overall,Production loss,Non-infectious,331554.791998358,55045876.4473423,-3080161.28509298,3743270.8690897
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Health cost,External,-68549.35322487378,7053.755303853177,-82374.713620426,-54723.99282932155
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Health cost,Infectious,-68549.35322487378,7053.755303853177,-82374.713620426,-54723.99282932155
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Health cost,Non-infectious,-68549.35322487378,7053.755303853177,-82374.713620426,-54723.99282932155
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Mortality,External,136939.816629527,21881529.2481976,-1219266.49609646,1493146.12935551
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Mortality,Infectious,339108.665129634,58455101.0975109,-3283909.46218018,3962126.79243945
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Mortality,Non-infectious,222924.6149402,30163914.7936243,-1646619.83945444,2092469.06933484
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Production loss,External,-3255560.41967329,30926152.6296602,-5172347.99648889,-1338772.84285768
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Production loss,Infectious,-7428297.85061462,64076864.2532693,-11399750.0655976,-3456845.63563162
All Poultry,National,Small holder,2019,Juvenile,Juvenile,Overall,Production loss,Non-infectious,-6545232.94061459,60502847.0119228,-10295169.3424419,-2795296.53878733
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Health cost,External,-214202.51479054298,10812.855757296782,-235395.71207484466,-193009.3175062413
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Health cost,Infectious,-214202.51479054298,10812.855757296782,-235395.71207484466,-193009.3175062413
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Health cost,Non-infectious,-214202.51479054298,10812.855757296782,-235395.71207484466,-193009.3175062413
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Mortality,External,8865875.97685993,27907999.4702426,7136152.03353846,10595599.9201814
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Mortality,Infectious,23683775.9118086,74100306.5499417,19091075.7226186,28276476.1009985
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Mortality,Non-infectious,8481470.23975865,26999295.5125376,6808067.31631928,10154873.163198
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Production loss,External,17127497.3409343,29352045.1278614,15308272.1651116,18946722.5167571
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Production loss,Infectious,50811839.4327269,85637877.3635595,45504046.3360228,56119632.5294311
All Poultry,National,Small holder,2020,Adult,Adult,Overall,Production loss,Non-infectious,40670809.7909449,69704849.4652061,36350537.8483377,44991081.7335521
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Health cost,External,-202910.1430715682,10875.427848572472,-224225.98165477024,-181594.30448836615
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Health cost,Infectious,-202910.1430715682,10875.427848572472,-224225.98165477024,-181594.30448836615
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Health cost,Non-infectious,-202910.1430715682,10875.427848572472,-224225.98165477024,-181594.30448836615
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Mortality,External,-6074090.54276068,27681479.3522999,-7789774.88170036,-4358406.20382101
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Mortality,Infectious,-14324651.7895097,59432673.8488571,-18008259.3903196,-10641044.1886998
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Mortality,Non-infectious,-5666202.13791938,24226996.2748563,-7167779.33180108,-4164624.94403767
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Production loss,External,353094.929788753,37200782.6223226,-1952591.09692699,2658780.95650449
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Production loss,Infectious,705604.935057482,65521953.5999336,-3355413.1997554,4766623.06987036
All Poultry,National,Small holder,2020,Chick,Chick,Overall,Production loss,Non-infectious,348132.531598289,57798170.2697094,-3234169.34934762,3930434.4125442
All Poultry,National,Small holder,2020,Juvenile,Juvenile,Overall,Health cost,External,-71976.82088611748,7406.443069045836,-86493.44930144731,-57460.19247078764
All Poultry,National,Small holder,2020,Juvenile,Juvenile,Overall,Health cost,Infectious,-71976.82088611748,7406.443069045836,-86493.44930144731,-57460.19247078764
All Poultry,National,Small holder,2020,Juvenile,Juvenile,Overall,Health cost,Non-infectious,-71976.82088611748,7406.443069045836,-86493.44930144731,-57460.19247078764
