species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Health cost,allcause,alldisease,17463116.407877456,176109.48666802986,17117941.814008117,17808291.001746796,2017-01-01,23.8661044574125,731712.0579539591,7379.062929280549,717249.0946125691,746175.021295349
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Mortality,External,All causes,376080362.695337,62262582.2629867,254045701.4598831,498115023.9307909,2017-01-01,23.8661044574125,15757928.293929484,2608828.867488207,10644623.7136526,20871232.874206368
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Mortality,Infectious,All diseases,756648630.316767,71595641.3576151,616321173.2558414,896976087.3776926,2017-01-01,23.8661044574125,31703901.726691797,2999888.041442743,25824121.16546402,37583682.28791957
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Mortality,Non-infectious,All conditions,310358973.838465,55277500.1226703,202015073.5980312,418702874.0788988,2017-01-01,23.8661044574125,13004173.948550347,2316150.9336938243,8464518.118510453,17543829.778590243
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Mortality,allcause,alldisease,1443087600.408848,8629.213128144956,1443070687.1511168,1443104513.6665792,2017-01-01,23.8661044574125,60465988.61510655,361.56772646089865,60465279.94236269,60466697.28785042
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Production loss,External,All causes,1043947926.10839,229344404.284002,594432893.711746,1493462958.505034,2017-01-01,23.8661044574125,43741865.28728417,9609628.780987365,24906992.876548935,62576737.698019415
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Production loss,Infectious,All diseases,2281750641.46958,401890524.147626,1494045214.1402333,3069456068.7989273,2017-01-01,23.8661044574125,95606329.28349134,16839385.11476698,62601134.45854807,128611524.10843465
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Production loss,Non-infectious,All conditions,2229110927.42463,391185578.655317,1462387193.2602088,2995834661.5890512,2017-01-01,23.8661044574125,93400702.71637051,16390843.313091252,61274649.82271166,125526755.61002935
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2017,Production loss,allcause,alldisease,5527165912.200681,801750019.6081384,3955735873.768729,7098595950.632632,2017-01-01,23.8661044574125,231590619.3263985,33593669.257536724,165747027.5816265,297434211.07117045
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Health cost,allcause,alldisease,18336272.22827133,184914.96100143137,17973838.904708527,18698705.551834136,2018-01-01,27.4293865941667,668490.0577459809,6741.490932238219,655276.735518794,681703.3799731678
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Mortality,External,All causes,394884376.339936,65375711.0181428,266747982.74437612,523020769.9354959,2018-01-01,27.4293865941667,14396398.365828367,2383418.630004872,9724897.851018818,19067898.880637918
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2018,Mortality,Infectious,All diseases,794481052.731367,75175422.2123366,647137225.1951873,941824880.2675467,2018-01-01,27.4293865941667,28964594.23195144,2740689.1493637655,23592843.499198463,34336344.96470442
